#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
-113.785823,24,47.855057
-63.678978,24,47.877353
-12.767866,24,47.906959
-75.388306,24,47.93673
-72.799093,24,47.960949
-92.529338,24,47.982916
-51.928409,24,48.002437
-68.568126,24,48.025404
73.44,24,48.351417
46.1232,24,48.385675
53.3664,24,48.418985
53.3664,24,48.4559
47.1024,24,48.490606
77.427815,24,48.525906
57.456,24,48.561006
39.6432,24,48.600524
59.1984,24,48.637997
58.9968,24,48.675386
36.4896,24,48.71431
44.352,24,48.763292
56.16,24,48.807844
68.2416,24,48.854297
48.8448,24,48.896142
40.464,24,48.943298
45.1872,24,48.988676
51.408,24,49.023581
53.208,24,49.062846
57.1968,24,49.105854
-61.673368,24,49.180529
-63.603741,24,49.217755
-73.785115,24,49.258455
-61.732041,24,49.296228
-74.680733,24,49.334264
-63.630133,24,49.378687
-65.804453,24,49.420506
-88.777793,24,49.465641
-61.673368,24,49.503228
-72.000186,24,49.536681
-77.601733,24,49.567513
-65.22747,24,49.595128
-141.688404,24,49.6305
-87.973451,24,49.662679
-70.140613,24,49.701909
-63.397894,24,49.741836
-126.767788,24,49.777832
-56.561667,24,49.809284
-64.088578,24,49.844894
-84.265946,24,49.882436
-296.977403,24,49.97895
-64.715406,24,50.012053
-218.503868,24,50.048928
-55.36151,24,50.087813
-89.271563,24,50.126528
-148.824671,24,50.15945
48.05315,24,50.192138
-87.583934,24,50.226122
-64.715406,24,50.255344
-83.404526,24,50.28913
-124.558623,24,50.32029
64.2816,24,50.359819
-62.376604,24,50.406636
68.9472,24,50.445066
-86.697656,24,50.488353
-72.203136,24,50.525409
-87.566944,24,50.556886
-84.702759,24,50.590781
-91.127232,24,50.624886
-199.374411,24,50.655197
44.064,24,50.720073
65.1744,24,50.750331
44.568,24,50.783409
41.256,24,50.816919
38.3184,24,50.851459
56.0448,24,50.885456
54.4608,24,50.927444
45.0864,24,50.974427
54.2736,24,51.011121
-62.717161,24,51.040855
64.9008,24,51.077177
63.5904,24,51.119182
65.952,24,51.159944
56.0448,24,51.196643
40.1472,24,51.23175
49.9392,24,51.267665
55.9296,24,51.300507
54.3168,24,51.325966
46.656,24,51.351581
83.952,24,51.376576
-88.150725,24,51.436186
-71.376395,24,51.460619
-79.407574,24,51.484039
-74.680733,24,51.512345
-16.408759,24,51.538886
-59.415768,24,51.566122
-57.316515,24,51.595213
-68.986579,24,51.6211
-57.382823,24,51.645452
-72.898994,24,51.669879
-94.650707,24,51.69254
-64.088578,24,51.717974
-77.265966,24,51.739124
-66.011582,24,51.762277
-77.265966,24,51.785423
83.5056,24,51.814381
-73.171433,24,51.844108
-76.009938,24,51.869637
-70.761345,24,51.905931
-81.629864,24,51.936494
-7.198029,24,51.995372
5.043996,24,52.023948
17.6832,24,52.053444
104.692254,24,52.084701
41.984953,24,52.123815
-1.328018,24,52.154122
12.1104,24,52.182076
-70.761345,24,52.20869
79.6752,24,52.234196
-96.823688,24,52.265381
-77.000457,24,52.303916
-71.276575,24,52.341853
-78.529935,24,52.37281
-78.270593,24,52.399464
56.736,24,52.426582
4.16232,24,52.451003
1.313986,24,52.473851
15.237328,24,52.498814
30.953565,24,52.529075
-75.995232,24,52.553341
15.606,24,52.61252
-69.184892,24,52.642408
-66.873954,24,52.667138
-64.911253,24,52.689127
-51.928409,24,52.711848
11.991456,24,52.734472
-71.080075,24,52.759349
103.242139,24,52.785345
7.351616,24,52.808507
-54.982543,24,52.832534
-55.225368,24,52.858176
12.2544,24,52.882107
-55.36151,24,52.91483
11.991456,24,52.943662
0.356983,24,52.971903
16.379543,24,52.996055
-74.268205,24,53.019042
-51.928409,24,53.044208
-58.076052,24,53.076329
92.88,24,53.10977
-113.236468,24,53.167201
-84.366933,24,53.195399
-65.477147,24,53.220763
-63.108233,24,53.245871
-74.256275,24,53.276739
-51.557201,24,53.306596
-62.40279,24,53.333753
-71.080075,24,53.360148
-69.965412,24,53.383754
-84.666718,24,53.407534
-93.835817,24,53.434852
-73.089691,24,53.459118
-66.670341,24,53.481085
-75.637459,24,53.504714
-73.548436,24,53.529868
-52.820627,24,53.553673
-132.652309,24,53.57568
-73.533787,24,53.600356
-77.000457,24,53.622732
-73.548436,24,53.651105
83.736,24,53.71474
46.288732,24,53.743578
54.475809,24,53.771343
82.955901,24,53.795573
43.6032,24,53.818639
41.818561,24,53.844534
35.583627,24,53.871323
36.648,24,53.902725
21.168,24,53.935242
69.618105,24,53.964164
41.072784,24,53.985878
68.1408,24,54.009869
41.616,24,54.039914
56.32128,24,54.068471
65.952,24,54.09795
42.671526,24,54.129457
39.5568,24,54.157174
-88.59428,24,54.187155
47.4768,24,54.216223
69.618105,24,54.243978
-84.666718,24,54.307932
-92.529338,24,54.339717
-72.854535,24,54.368541
-117.93751,24,54.394767
-77.531041,24,54.420928
-60.048737,24,54.451589
-74.396372,24,54.483043
-59.2037,24,54.512026
-95.631721,24,54.543335
-66.800535,24,54.576511
-57.753938,24,54.600922
-59.2037,24,54.6278
-48.739357,24,54.650225
-51.374786,24,54.671926
-48.745642,24,54.693693
-84.366933,24,54.716311
-54.982543,24,54.740055
-57.364509,24,54.766934
-68.986579,24,54.786987
-16.279505,24,54.806054
38.3184,24,54.878053
47.6352,24,54.913766
47.6352,24,54.945888
43.0992,24,54.976018
49.536,24,54.997016
50.7456,24,55.01805
85.4496,24,55.042213
47.6496,24,55.063536
43.4448,24,55.087371
38.9232,24,55.119875
46.224,24,55.139878
47.6208,24,55.166879
49.9392,24,55.199296
39.168,24,55.222851
62.3232,24,55.245807
52.1712,24,55.268638
42.8832,24,55.290659
68.1408,24,55.318118
43.272,24,55.34055
47.1312,24,55.361909
-132.652309,24,55.417129
-85.07692,24,55.452863
-72.471569,24,55.479862
-51.343095,24,55.502281
-79.71599,24,55.526616
-95.53483,24,55.552196
-54.218945,24,55.5742
-74.680733,24,55.601346
36.151202,24,55.633727
-28.921201,24,55.66525
-92.20607,24,55.688354
-86.025249,24,55.714467
-50.404777,24,55.741754
-72.169543,24,55.771306
-90.830093,24,55.79739
-73.933017,24,55.822368
-95.631721,24,55.844667
-54.294038,24,55.86732
-56.747543,24,55.895263
-76.787128,24,55.925352
87.4512,24,55.983636
40.32,24,56.009454
61.92,24,56.033544
20.4336,24,56.054904
57.6288,24,56.084232
56.0736,24,56.113012
51.7536,24,56.142789
59.74593,24,56.172917
67.4208,24,56.194918
61.4448,24,56.222571
55.7568,24,56.244936
49.0608,24,56.274308
47.1024,24,56.30177
53.1936,24,56.322232
49.392,24,56.347712
79.9776,24,56.375867
54.2736,24,56.405306
82.9584,24,56.43486
55.1232,24,56.467499
55.1952,24,56.499564
-353.990583,24,56.571399
-381.406094,24,56.604769
-395.494226,24,56.640699
-432.890537,24,56.672317
-314.189074,24,56.702946
-318.52872,24,56.731636
-471.477095,24,56.761213
-397.290927,24,56.788805
-294.997968,24,56.823147
-439.992288,24,56.85168
-429.577307,24,56.877249
-470.492722,24,56.912535
-455.780505,24,56.975177
-398.014093,24,57.063064
-356.321158,24,57.127353
-145.82304,24,57.189889
-349.207643,24,57.245187
-559.524747,24,57.301374
-407.228021,24,57.358829
-877.353766,24,57.415532
-52.832911,24,57.508256
-74.366106,24,57.550949
-75.388306,24,57.579541
-35.476455,24,57.618507
-83.257923,24,57.669513
-45.693214,24,57.719861
-81.820121,24,57.775679
-57.546991,24,57.817016
-64.756857,24,57.867779
-76.5998,24,57.89242
-73.235269,24,57.935344
-96.03395,24,57.973176
-57.316515,24,57.998958
-77.062379,24,58.023551
-75.092898,24,58.048061
-45.693214,24,58.078401
-89.02308,24,58.110536
-57.382823,24,58.141964
-73.533787,24,58.175206
-73.235269,24,58.20455
44.1216,24,58.25729
-912.163598,24,58.288365
-53.382559,24,58.314164
25.4448,24,58.343891
60.4368,24,58.370873
-104.443126,24,58.398461
9.119827,24,58.423169
49.9392,24,58.447792
-331.208761,24,58.474962
-241.343489,24,58.500693
