time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
816,19584,-182.85971028999995,29,24.0,654,19483,13505.8203125,0.0003,-20.94891929626465,258.6553955078125,5913915.0
820,19680,-182.27742050000003,29,24.0,657,19579,13942.9736328125,0.0003,-20.74054527282715,266.15167236328125,9475727.0
824,19776,-187.15547558000003,29,24.0,660,19675,14297.529296875,0.0003,-20.441905975341797,273.9667053222656,6134569.0
828,19872,-188.39176686000002,29,24.0,663,19771,14666.6552734375,0.0003,-24.866647720336914,281.94384765625,8825316.0
832,19968,-189.99145193999996,29,24.0,666,19867,15013.642578125,0.0003,-22.54665184020996,290.1932373046875,9520402.0
836,20064,-192.58681646999997,29,24.0,669,19963,15428.2578125,0.0003,-21.772750854492188,298.6607666015625,4943237.5
840,20160,-195.65811784999994,29,24.0,672,20059,15695.064453125,0.0003,-20.16236114501953,307.1881408691406,11281656.0
844,20256,-194.90976899999998,29,24.0,675,20155,16514.443359375,0.0003,-25.05010223388672,316.0906677246094,7718678.0
848,20352,-196.27208690999996,29,24.0,678,20251,16925.8046875,0.0003,-21.55666160583496,325.23431396484375,8267129.5
852,20448,-204.62238637000002,29,24.0,681,20347,17419.962890625,0.0003,-23.590118408203125,334.6727600097656,10362026.0
856,20544,-204.75565584,29,24.0,684,20443,17547.185546875,0.0003,-20.071918487548828,344.4465637207031,13321428.0
860,20640,-204.53578771000005,29,24.0,688,20539,18036.25390625,0.0003,-20.651203155517578,354.34320068359375,12134726.0
864,20736,-200.23292966,30,24.0,691,20635,18867.76953125,0.0003,-21.932140350341797,364.651123046875,11955486.0
868,20832,-200.16957031,30,24.0,694,20731,19430.44140625,0.0003,-25.946046829223633,375.15869140625,12843398.0
872,20928,-199.88597042,30,24.0,697,20827,19853.529296875,0.0003,-18.876628875732422,386.1236572265625,11034917.0
876,21024,-201.35788220999999,30,24.0,700,20923,20228.265625,0.0003,-21.268545150756836,397.3359680175781,16760406.0
880,21120,-203.48099032,30,24.0,703,21019,20918.650390625,0.0003,-22.427595138549805,408.96533203125,15438486.0
884,21216,-202.04717966,30,24.0,706,21115,21665.60546875,0.0003,-24.2657527923584,420.8700256347656,11906864.0
